wallet,Risk_Score,portfolio_value_usd,SOL_balance,Farming_Attempts,Total_Tokens,Farming_Ratio_Percentage,Avg_Risk_Last_10_Tokens,Avg_MC_Last_10_Tokens,Winrate,ROI,ROI_1d,Win_Rate_1d,ROI_7d,Win_Rate_7d,ROI_30d,Win_Rate_30d,Realized_Gains,Unrealized_Gains,Average_Holding_Time_min,Avg_Buy_Size,Avg_Profit_Per_Trade_%,Avg_Loss_Per_Trade_%
24xcGgtCM614PTCfsxYy1cjnauMFZENe7huTo7v2a5Kk,31.85,187531.66,0.0000,2,493,0.41,3.00,718600.35,54.56,2.46,12.62,64.58,52.12,60.28,100.00,54.56,7474.85,-755.77,5043.04,58.03,-,-
BirtHYryBWDZve8Jq3S6Wf9FhcFi5BDX2mZcAFmWMguY,31.98,92252.76,0.0000,1,109,0.92,3.60,1569645.77,46.79,4.27,10.53,50.00,29.88,66.67,304.39,49.06,1590.91,-267.77,1873.16,88.89,-,-60.12%
4XYsxSfYbBHbArnjRUzeu1xwE9rXsQi5MWBbPpemm6eK,32.44,121482.47,0.0000,22,1222,1.80,2.70,15000232.94,48.94,0.57,0.78,30.77,0.65,37.04,7.27,43.93,6190.40,-1342.95,33740.89,56.61,8.66%,-9.00%
7kXDTq5ZjQMbbwUpFAZVXgwSCorejGVT7hzMqpS24z2h,32.62,16127.65,0.0000,0,22,0.00,0.00,1208798656.81,77.27,51.75,1.66,72.73,3.06,76.92,10.01,75.00,51952.05,2359.52,39847.45,158.05,78.95%,-2.67%
BCcojCVVspmgM7hXZ5Dwqm6SEEQn3cszRoqA3dv9dhBK,32.67,18078.80,0.0000,0,14,0.00,0.00,754418879.78,50.00,57.07,-0.00,33.33,23.62,66.67,57.41,40.00,171571.27,3081.16,126370.49,749.27,89.32%,-50.72%
5BpRMh5zvWovrdG7qmrcPf36LKaWYNKfeNmPfjysvvcr,32.80,35561.55,0.0000,5,192,2.60,2.80,4791082.84,52.60,9.18,0.00,0.00,1.48,40.00,14.38,50.00,11154.53,2278.76,23000.34,271.50,18460.08%,-45.20%
AYXCaenoJ3WrfiAbxNJxQWjb3doWNnJ9vqZeBGtJEQTE,32.82,4711.25,0.0000,0,12,0.00,2.80,6546734.81,66.67,11.38,17.92,75.00,68.32,83.33,317.02,90.00,2747.71,33.94,25358.70,92.24,0.54%,-19.79%
9Qeij6R82HiWp7HgvWyTGj94RMjyRmq9JTBqQjFt1HBD,33.00,33464.21,0.0000,0,12,0.00,4.00,805250015.70,50.00,8.53,0.00,0.00,33.31,80.00,100.00,50.00,1211.53,230.82,7013.14,365.66,-,-
3eq3LJmvadzUmWzBRs9w6KW2X1tbuAUupWbHkPxTGHKc,33.30,77946.23,0.0000,0,13,0.00,2.20,9156883.01,46.15,47.62,157.77,100.00,251.09,100.00,4217.30,61.54,5102.50,-0.19,18845.35,164.49,-,-68.95%
BQz8pUvRYbhR76nhNe3XeuNbQoWoUmkpKeFg2K5y1iE6,33.32,60123.74,0.0000,6,132,4.55,3.00,4550.28,65.91,894.90,614.66,100.00,772.65,63.64,1276.28,64.71,551794.89,0.00,149.17,50.80,935.15%,-64.07%
BcrmEVntsJYQ6CTCp9WMj2pKSrn84wJNHrj9EpTSa3Sg,33.43,44751.60,0.0000,5,259,1.93,3.00,28850888.76,51.74,21.99,0.00,0.00,7.55,100.00,23.92,64.00,27255.69,1190.28,13248.53,360.46,101.10%,-23.77%
HoanS8Xg2LGZdCor6hwEDPV1GUpnjVibR977QwH6UnE,33.46,563341.75,0.0000,2,2831,0.07,4.00,1266994.24,49.35,0.64,6.83,55.26,19.52,58.06,374.35,59.64,9723.86,-5461.92,7863.23,61.01,17.22%,-25.54%
255m3Q9rAK5jsM6jAwLRaATm69kn8YbFwhgTKpGRgZUT,33.67,87752.88,1.3333,0,32,0.00,0.00,799167699.83,78.13,16.47,-0.00,0.00,0.20,66.67,0.96,63.64,370172.38,14144.18,157488.15,1930.34,49.21%,-21.47%
EUBUn8DM98oFU7kon2j1wBBXfxxqXgPbRzdHByqQPBPb,34.43,8695.76,0.0000,0,32,0.00,2.90,303105020.09,59.38,20.78,0.45,54.55,45.90,61.11,759.52,59.26,2535.34,587.96,23548.64,136.12,28.86%,-13.23%
9P7nMAFKyNS572MNjKQka4Nckk3mhNfkR7GXMUJiN1ma,34.50,73750.40,0.0000,2,91,2.20,3.90,496544.80,63.74,3.98,40.04,33.33,597.25,72.73,100.00,63.74,2646.96,-272.22,643.53,130.79,-,-
6gueBwphhaUQ2VPdkDVqYyL8qHWfJ6j97F1BZwGGcMJF,34.70,20444.57,0.0000,0,26,0.00,1.80,4098942.28,53.85,20.83,5.40,75.00,2.16,80.00,233.66,63.64,13804.22,3769.83,8754.23,763.81,95.50%,-63.69%
4UZBsjeQJDt2vMqhUQgY7fRwueZxkocUXexJssb4o6s2,34.77,11500.36,0.0000,2,59,3.39,2.30,30391790.95,47.46,10.60,0.00,0.00,39.97,42.86,100.00,47.46,2687.75,79.27,1381.80,117.02,-,-
HuUTem6GBoGMjnqp8nNeGPRMozKgjFS4wKSBqRhcGvvU,34.78,10836.36,0.0000,14,143,9.79,2.90,4611.98,61.54,91.10,0.78,100.00,75.72,81.82,606.13,64.49,55183.74,0.00,134.58,54.90,649.06%,-45.40%
F9wFCaZLbtvkjYwye5tjS1hBjUYR3oQ5QQC38giHsv3o,34.84,145464.86,0.0000,40,1067,3.75,3.50,1351465.29,53.33,0.58,3.15,61.54,19.74,60.78,437.91,59.76,2699.52,-972.73,6226.52,61.60,12.58%,-18.39%
2aC4mhtNYRhg6eN27csRV4SdwDa2TVLPmzJiAL87Ye67,35.16,37182.19,0.0000,20,847,2.36,3.20,1329731.81,53.36,4.12,0.09,100.00,0.90,70.00,16.24,60.80,2356.71,-190.44,6794.91,28.94,15.57%,-13.79%
5S7n49Y9nuXapzUs13rX8sxUmPjLZfuZ7xuMPF3XutdR,35.27,99858.59,0.0000,0,27,0.00,0.40,30968353.39,66.67,1.55,1.92,100.00,0.07,66.67,441.21,61.90,4010.19,-24.74,15386.89,701.85,6.04%,-12.60%
D8gRYu2Do4EBkpTEmAnqewSJcSA4UQS2DZjM7TxiatR,35.28,9069.02,0.0000,8,138,5.80,3.60,4502.68,68.12,200.51,0.34,100.00,142.78,69.23,1723.68,68.57,128119.81,0.00,141.42,54.33,564.55%,-56.75%
HqygWkgrwDr7pHXwqZ7E4HRT3fvB9ACc8ogphp4KSX7Y,36.05,9615.66,0.0000,0,15,0.00,0.00,39360261.27,73.33,4.31,0.00,0.00,0.80,66.67,100.00,73.33,1605.42,746.49,5447.36,383.33,-,-
9yrv8CDq9iLungdqe6Zhd1VDVDjFaiBjuu1wFyiqjUzc,36.17,396116.09,0.0000,4,80,5.00,1.00,117077325.56,70.00,2.89,0.13,66.67,0.89,66.67,42.75,66.67,281780.36,108096.85,152378.46,328.72,2.50%,-1.25%
7xocpoSomiXmjD8CQktRfH5hiVMY22LE1SqURxBAk6ka,36.38,5898.60,0.0000,0,34,0.00,3.30,6680128.16,61.76,4.43,202.44,100.00,17.62,83.33,483.87,62.50,1262.93,-63.95,2108.19,162.06,22.56%,-15.64%
5JrEgAmr4bUdBZr5XfK4qZCbX8Qogisp4sP4Kzn6RPVk,36.58,54290.61,0.0000,10,145,6.90,2.90,4709.69,64.14,77.60,34.05,100.00,90.12,58.33,1426.96,67.57,50615.68,0.00,135.32,60.53,224.52%,-56.36%
F2LAjspdZEgsDGKiedRQcgx6MaidtmyoFxDX31tXWYuC,36.72,24151.16,0.0000,2,371,0.54,4.50,1649000.96,55.80,5.61,0.36,50.00,1.69,47.83,172.09,59.87,3098.31,-70.60,7430.94,90.51,57.85%,-41.28%
Ggb7o1osAQjv4PrAaFzF9UKRW9qYkfCtSZs56BgcAffa,36.74,2248912.95,0.0000,4,78,5.13,1.30,33582825.75,66.67,7.28,0.54,100.00,0.27,66.67,142.63,74.36,78700.81,-4845.77,6491.33,2207.05,26.14%,-14.14%
8dQViiJFi5PhFDS1c17oQqGELEE2oEcHTXdEY9xYBYu6,37.39,158269.34,0.0000,4,47,8.51,1.70,56925124.34,51.06,5.48,1.60,50.00,14.77,83.33,100.00,51.06,18632.16,-826.51,3130.86,442.92,-,-
3vRrRna3J7uj7kBkQnsBA9chqjDuosiZMYoTGTv5NLMZ,37.51,4761.97,0.0000,6,159,3.77,1.00,3287705.07,45.28,8.49,0.00,0.00,1.76,33.33,5.63,50.00,18155.95,-55.47,27103.22,575.59,24.17%,-12.62%
CzMjzTeMPAvhdF64bTX5VJzgjJoenYbJZPBXjX6Ggyfb,37.54,60866.20,0.0000,17,185,9.19,2.90,17915690.84,55.68,1.19,12.76,100.00,19.24,100.00,1824.86,63.89,1767.82,-459.45,7166.06,245.49,9.78%,-19.97%
EqyYYTaKNftEgMLDPaTeaP8PvawYFqCUw7yfEGC5p8Bo,37.61,1051299.31,0.0000,115,1475,7.80,3.50,1149861.43,56.95,0.45,6.30,75.61,31.14,67.16,129.14,62.19,6515.01,-3212.65,7547.91,68.06,12.54%,-19.36%
F98iLLmeQRMnmSxYYdWobJ9JeK6wXzADnakXwZxebPND,37.74,18442.56,0.0000,1,43,2.33,3.20,43264340.07,69.77,17.45,0.07,100.00,8.99,76.92,254.09,64.29,5589.15,752.03,10916.30,164.01,38.09%,-33.56%
BzaxsUXbkqjEJe8JZXjgr4UEnQeLoaWXSA9LjTPNxfZ8,38.18,478974.37,0.0000,15,253,5.93,3.50,15317642.54,45.45,21.66,3.96,50.00,5.73,33.33,74.93,35.00,78778.30,10265.37,1971.14,756.42,63.84%,-39.25%
DcLoWyiQ4xeNumH55YHmz22TwFmD8dfmXsqT7LqCCkNA,38.20,10285.98,0.0000,12,138,8.70,3.00,4559.93,69.57,149.73,77.39,100.00,84.99,60.00,977.49,69.61,84495.99,0.00,144.82,50.84,363.49%,-45.15%
EJbPiRrw45u1v919pa92QSysaRY84dZgLd2op7X7KtBj,38.40,135876.32,0.0000,0,149,0.00,3.60,1007018.10,58.39,3.31,1.81,66.67,9.21,60.00,129.18,62.32,14059.76,-405.59,2789.97,232.73,15.72%,-18.75%
7ojqvQCuebEeqH1KQ6ULomSNBKJeC5VEimFP2ofFhcE2,38.40,224405.70,0.0000,1,928,0.11,4.10,139607.98,54.96,4.13,26.36,71.43,72.44,64.29,325.76,68.64,4744.78,-572.48,2390.50,29.66,156.93%,-24.64%
4R2oKY95v8Vzvqq7KrQKMfdojg6AxRe7cXZnFoaDct3x,38.55,35864.26,0.0000,7,190,3.68,2.10,881107.33,61.58,0.32,0.19,75.00,0.46,71.43,530.01,63.89,91330.64,3013.97,36080.16,1217.64,550.01%,-14.22%
GsE1DbE3HyM9u81xRYZeDNfbjKmUrqMoTt2RtNBXUdLo,38.58,5689.31,0.0000,2,23,8.70,3.20,58202898.59,69.57,7.04,10.24,100.00,76.84,63.64,100.00,69.57,1115.81,112.58,1371.51,456.13,-,-
CtYDqNRtRxgCd66cGXNScnnSEEY1q1bWu5D9dhTEoftn,38.65,310209.21,0.0000,57,2202,2.59,4.80,957684.72,64.12,8.09,0.48,83.33,1.72,80.70,3.67,75.81,403009.65,215863.21,1530.76,975.18,29.49%,-37.27%
8AskvCDy3mEgcfcUh58dC8hogstFLdt4M4MLiKS2pnFm,39.38,349619.62,0.0000,2,76,2.63,0.50,73777661.42,67.11,20.32,0.03,40.00,4.72,100.00,64.74,65.52,106824.71,69861.93,27263.49,662.28,98.69%,-29.95%
6MSvx8vM4bMA1yzeCxgi5Nb1WUGcnpaHoviXp5UD3gKX,39.53,4081.59,0.0000,0,17,0.00,0.00,1104182426.11,76.47,29.54,2.10,40.00,7.76,76.92,100.00,76.47,5747.50,2.75,12332.01,238.01,-,-
GRqvKTSkjGHbVfPnnfP7pNA8ta9YtubVhAs69kJEBEcQ,39.60,10214.46,0.0000,14,148,9.46,2.70,4345.87,66.22,100.82,60.86,50.00,112.11,54.55,1013.44,63.55,66635.59,0.00,132.58,55.35,476.95%,-47.35%
