wallet,Risk_Score,portfolio_value_usd,SOL_balance,Farming_Attempts,Total_Tokens,Farming_Ratio_Percentage,Avg_Risk_Last_10_Tokens,Avg_MC_Last_10_Tokens,Winrate,ROI,ROI_1d,Win_Rate_1d,ROI_7d,Win_Rate_7d,ROI_30d,Win_Rate_30d,Realized_Gains,Unrealized_Gains,Average_Holding_Time_min,Avg_Buy_Size,Avg_Profit_Per_Trade_%,Avg_Loss_Per_Trade_%
74dwp4ycCZnZgWa8LyKjj6yguEKxS5nexf8DubWWFhJX,53.35,18760.86,0.0000,0,72,0.00,4.60,341034.42,58.33,64.21,1.38,50.00,6.05,72.73,142.30,54.90,41627.78,1941.43,4892.25,460.74,168.21%,-30.24%
BKESrMUsnA2vAHeuhQHZro2JFBh99VGjPPL5cij514Wb,53.58,11050.17,0.0000,14,141,9.93,3.10,4409.47,65.96,494.80,0.22,66.67,4.98,50.00,3324.97,66.96,305324.17,0.00,139.84,56.67,213.03%,-45.93%
APdNMUQUVEr3BjozQQHKBy1ULLC3XS6Dssoou5q8Y5rP,53.81,29111.15,0.0000,4,74,5.41,3.60,514045.16,48.65,8.53,0.02,50.00,27.83,50.00,66.40,61.90,2475.18,-384.43,8247.31,66.04,85.73%,-38.23%
GGvZSEJWCQcWqLN2WHc2yfD9CQUMRMPBmuqLhRswLGvP,53.90,6693.61,0.0000,10,149,6.71,3.70,4910.21,58.39,204.61,1.00,100.00,4.81,53.33,186.70,58.54,136679.87,0.00,133.94,64.14,1774.95%,-50.53%
AKBe8oV97e6iv4ZCKN8mVkUpvRw5BBiMhyExAo63Hs1U,54.31,9089.66,0.0000,12,151,7.95,4.30,4815.39,65.56,119.53,3.04,33.33,12.59,33.33,775.81,68.07,74287.05,0.00,129.22,55.37,473.51%,-61.36%
AcKpsk3AKJR8YiTrHr2XCFZ2WV8gcM3zjgcr4P1MjHD1,54.33,26413.89,0.0000,111,6177,1.80,6.70,15887.18,47.79,14.37,0.51,73.17,1.95,57.58,7.66,44.74,284931.91,10485.71,7574.79,202.81,38.92%,-15.27%
E2rbcgmU48GxZchnvz1QMS3Z1MCLfwNez8VhTGo6znCs,54.41,173994.39,0.0000,33,1064,3.10,4.10,24306.96,46.43,13.32,0.46,63.64,1.55,44.19,5.66,47.10,37288.18,-2559.58,9399.32,118.94,40.21%,-20.36%
9pAM3jRaqh857sRGrLQAV3nBdD8QxQF51WnAXESCCynF,54.64,1113.71,0.0000,0,20,0.00,2.50,51616418.26,50.00,41.79,0.00,100.00,0.00,100.00,2.58,100.00,15327.27,100.77,49818.53,466.06,165.02%,-33.09%
88WPFukTuC2EhnjT7pbq9egnwgM5N2rQnpQHbfxNc1Yi,54.70,32607.69,0.0000,0,23,0.00,3.80,588278.44,56.52,71.13,2.91,50.00,30.67,40.00,1752.28,56.52,14520.30,440.71,4656.22,344.64,119.33%,-
DELXN1BEsSHvUmUX2EZYbdXG89GzaiE7W8ERdQa7xj8,54.96,6858.94,0.0000,12,310,3.87,3.30,62987.16,55.16,49.95,0.03,100.00,9.82,87.50,10.06,89.47,14958.93,1172.05,34865.43,83.60,114.91%,-25.61%
GYmi7hAgHwWDt2xudfY3mma3BsQM3udpijaTsCfasQPE,55.04,16597.87,0.0000,10,139,7.19,3.90,4711.98,64.75,206.02,3.71,50.00,4.76,30.77,205.05,65.74,143058.75,0.00,144.09,55.55,514.29%,-34.92%
BqAzX8JooVD6j3SybG3ofbERJt3ZdxDNBKZQiFxLxGw9,55.20,13367.35,0.0000,10,136,7.35,3.90,4711.75,61.76,79.45,1.93,33.33,0.10,23.08,57.91,60.00,49375.72,0.00,139.44,54.11,570.52%,-58.22%
6Xa3PCsVufD5LWjFM6NcFfAdTZvtham28WSMqDf3486,55.27,71805.37,0.0000,13,141,9.22,2.70,4346.71,67.38,86.17,3.37,50.00,6.84,30.00,1591.36,70.37,49306.13,-127.70,138.40,55.23,261.67%,-43.08%
F6K2QWBPTBJrkZgs78BFeZpmDyH7kbcZCUeq2KjrS9jE,56.25,170731.33,0.0000,1,95,1.05,2.80,373796.45,46.32,86.58,0.09,100.00,0.09,100.00,260.39,18.18,48988.18,28969.98,10866.49,611.17,115.08%,-52.19%
7g1nSRApscRcSpH8sZtJvprow3QvUtXS28ugZyN4466u,56.33,90996.20,0.0000,16,165,9.70,4.60,11137.36,46.67,15.05,0.12,100.00,4.77,58.82,100.00,46.67,10626.31,-1220.40,1436.52,151.48,-,-
5bsqth27GPpMBHJmp6K6W2S9k8DigMcgS6Ep9eSkp55c,56.43,66656.37,0.0000,3,71,4.23,4.80,161895.79,57.75,5.95,0.60,100.00,15.01,75.00,285.58,71.88,3687.99,1059.80,25767.37,52.12,9.57%,-17.13%
JBZmSjXMiS48aDt5qMteL7MDtY6W47hWdtL3msPi3hdJ,56.50,775985.03,0.0000,119,1560,7.63,5.30,12094.44,56.73,17.51,0.07,100.00,0.32,65.38,2.78,56.25,114091.23,-5413.72,6541.20,320.28,38.57%,-11.37%
Gb5ESWoq3TRKdPLG87tkcDKYSf59VyrorMssbGzFjGY5,57.26,41316.61,0.0000,17,464,3.66,4.40,11627.69,45.26,2.16,0.00,0.00,0.01,100.00,833.29,62.32,1648.99,-478.10,12415.20,33.32,32.96%,-53.51%
12V1UaBFuXdd3MuvDfqPVvNatuc9fBhAe3uV6dxoW1rN,57.30,376058.03,0.0000,0,22,0.00,8.20,855676.17,54.55,233.02,0.45,100.00,6.17,75.00,6.01,60.00,310842.84,215128.07,3935.77,10256.69,147896.41%,-56.78%
FiJzbGJoL61ceerNzANQHwEDuX66JHDcEX7nTw4yC7Wj,57.67,4734.49,0.0000,8,215,3.72,5.50,7476.65,45.58,4.24,2.57,50.00,8.73,42.86,12.87,39.74,3222.50,4.89,556.21,167.67,1831.70%,-19.49%
7o96TUSTwe3bJtwCL9LwQdfJjotq17PEpJ7ocPjcGNh9,57.82,2468.97,0.0000,3,143,2.10,3.40,8361.06,47.55,11.67,2.98,50.00,2.50,54.55,67.79,58.97,4475.39,-31.53,4316.71,204.40,61.41%,-15.05%
C49FtCBbPn1JhZxczZzMcPbjKiGP4A5zk2pjHC1JU8hk,57.88,35622.65,0.0000,7,75,9.33,3.70,239178.27,72.00,3.17,3.79,75.00,121.51,100.00,19.84,56.67,3057.31,-157.46,6942.59,184.96,20.86%,-2.24%
BkmoaivrGHjj9tFHePLpUpyx13YwadkUu9V2VVvxYtMi,57.95,23288.46,0.0000,0,18,0.00,3.30,382559.87,66.67,24.84,0.00,0.00,37.93,100.00,443.70,72.22,1582.98,847.41,9183.18,198.61,35.64%,-90.16%
98d6zrmKyNfLZ1UHkZhMD7MTmWQmPz6W7UeaV3whPaDZ,57.99,6584.14,0.0000,12,147,8.16,3.40,4714.07,62.59,133.70,0.43,33.33,4.96,38.46,1751.55,62.73,86955.86,0.00,129.92,61.87,690.96%,-48.75%
B4n6wCvzZMUxUi86qsxk6efUDqNpZSko1cDU2FNQbsdx,58.40,3352.59,0.0001,1,69,1.45,4.20,203846.60,60.87,38.09,0.00,0.00,14.03,87.50,100.00,60.87,5789.36,2159.81,562.98,214.38,-,-
12B7X82bS2N73JTn2d9Qi77GBZTMBeu8x1jMDhbxs53h,59.30,110118.87,0.0000,0,23,0.00,8.20,856509.02,47.83,495.34,0.05,100.00,39.81,100.00,615.49,87.50,958033.48,64896.07,4017.82,8977.43,714453.90%,-41.11%
7rVMzYKvP5SbLEqVBSkime2vLXirQuAN1pvKBYdwFoNn,59.41,5188.71,0.0000,13,140,9.29,3.10,4405.99,70.00,453.95,2.42,33.33,3.55,41.67,33.18,70.75,281120.24,0.00,137.00,52.70,1399.62%,-53.18%
2SXhmPtRz9RCd8EqLj3JQKeiGAD97zk9jhYAoJLprKQ7,59.58,1189.65,0.0000,9,138,6.52,5.50,85783.74,60.87,6.58,19.37,71.43,24.53,62.50,125.59,61.94,1847.32,80.90,87.24,199.76,249.10%,-14.06%
5RFRbVZDxNADxcqMk2DuK4GeJYmmvC7efx9Zs6ADZg9u,59.75,15896.21,0.0000,4,50,8.00,2.50,398481.49,46.00,8.07,0.28,100.00,11.47,100.00,100.00,46.00,2346.21,6.54,529.31,434.09,-,-
DXv9es8uhwRKx2qMfxu2aT8isyQc6ouHbFop2YpeuDPf,60.08,11762.58,0.0000,1,33,3.03,4.70,1062461.36,54.55,18.33,0.00,0.00,0.08,100.00,100.00,54.55,5867.79,4340.75,2174.25,336.30,-,-
GxPxv66x6peUz7YwEn1AiG47FuYKWkoPcUQDHECSWJ3L,60.63,2534.74,0.0000,1,19,5.26,4.60,7559.99,78.95,33.23,24.52,66.67,83.63,88.89,100.00,78.95,3281.97,61.66,709.00,206.26,-,-
4YXmGKBARu2NagWW32k7KuczfbAi7RwoGnXJY1acHb7i,60.76,14142.97,0.0000,1,64,1.56,4.80,25060.37,46.88,9.84,0.00,0.00,0.01,100.00,100.00,46.88,4312.16,-79.40,564.33,322.10,-,-
9hgQyxdQQiaoxns8RBVu6zrtZLA1jKsbRYM3Hz9AaLDT,60.89,4534.89,0.0000,20,309,6.47,5.30,9376.82,46.60,9.44,0.28,71.43,3.12,65.00,148.85,57.38,4700.72,113.43,9521.44,122.36,30.11%,-14.54%
44xCwKpVGPc3vN3aeJmQDq4dyEqBmgDNWkxUzCgdZiBt,60.90,11106.72,0.0000,1,33,3.03,4.80,123686.85,54.55,10.77,0.39,25.00,10.78,66.67,100.00,54.55,4614.85,-118.49,2978.38,323.32,-,-
BiToUwTytKRtHkfpDhHGYZYPwWR2uFcTMfhnibb5YF1J,61.06,2225.60,0.0000,0,25,0.00,3.30,931694.03,48.00,196.98,0.01,100.00,3.94,58.33,100.00,48.00,13551.17,0.44,3645.53,69.31,-,-
FMUF3kJ2oCvqb29SssxsMkMEkcKJW7Emj1tBy4CExaPg,61.09,3928.45,0.0000,5,116,4.31,4.80,124197.11,47.41,12.74,44.30,66.67,27.59,47.46,33.68,51.76,2210.80,-0.84,9022.68,83.04,71.04%,-48.97%
GNhU6VAaTFycu5DXqD3U2MkBmovkKPkigNp7xLpn4hvx,61.64,1264.80,0.0000,0,79,0.00,4.90,70279.77,54.43,3.75,3.68,80.00,11.41,72.22,224.27,62.00,1647.53,274.70,3891.74,229.01,11.99%,-21.98%
Ea5ewt3uiENb6iZ9wBCG2KNbVSZxdhyaYivuQY4CpUG1,62.11,5139.84,0.0000,3,76,3.95,4.20,115452.79,60.53,19.24,0.00,0.00,56.80,100.00,89.80,50.00,5516.87,50.12,3256.54,340.32,41.64%,-16.92%
HY6qmn3ddPFGGZG4LmkZWDp985KXCQxspozNgoZdrV4n,62.45,1465.35,0.0000,0,21,0.00,4.50,10055.71,47.62,44.89,0.00,0.00,25.01,66.67,281.96,55.56,2634.62,0.00,1201.78,279.49,43.07%,-16.90%
12ELizXkyTG3Fr8HUmTyTZY31AUfpBpqsTPoUht3inGF,64.10,189381.73,0.0000,1,16,6.25,5.90,1084648.63,50.00,1077.35,0.14,100.00,23.82,100.00,565.82,66.67,1291463.72,61092.40,5694.24,7642.40,455.79%,-50.58%
3AprCEzPXztfxWUH2dK7CveYEbnjKNUuriPkmhrPK2JY,64.21,3535.25,0.0000,0,19,0.00,4.50,713068.66,47.37,2708.99,0.00,100.00,0.00,100.00,100.00,47.37,449864.02,380.54,513.23,655.99,-,-
12aTjcgmvwZWEcrRQwSoCKXMJx8DVsLukwLCCBfjySrz,64.75,2179064.15,0.0000,0,25,0.00,8.50,357676.58,56.00,366.83,4.00,100.00,30.18,100.00,309.21,83.33,445320.65,-13.78,2676.18,4845.47,3952806.16%,-42.28%
FKa741TrLiPJ5d3REnF8UpNE669psL1WjfWkGPXQ3cek,64.81,4085.36,0.0000,1,29,3.45,4.30,23141.33,51.72,21.21,0.00,0.00,199.19,100.00,100.00,51.72,1978.05,144.76,2955.81,266.20,-,-
9v1zysdNkPqRnbkqrV5tdThTswnhbjc925TnxioBG9VX,65.28,4066.21,0.0000,7,81,8.64,3.80,28055.70,46.91,14.97,0.06,100.00,31.17,100.00,16.29,45.45,4040.72,58.79,425.46,270.61,113.31%,-44.54%
12Q3aiT9a1zvah2HkS1sHiY67qBYWnVaMr1pmzWXNEUX,65.30,408464.19,0.0000,0,24,0.00,8.20,856485.65,54.17,405.54,1.12,100.00,9.74,100.00,310.65,83.33,217280.31,-4116.02,5809.82,2103.14,4644709.88%,-39.35%
BvWJuhgpce1xTY1asSCvkwn2c9jwd6Un43hXcZRnYSbB,65.59,2493.49,0.0000,2,34,5.88,4.80,6867.11,55.88,32.19,24.55,100.00,41.45,87.50,100.00,55.88,5114.45,60.39,528.34,223.63,-,-
Fpq9MHb9gxa8BNAmsHxSvSNTNhawGUgDQJDu7vdfQUcf,65.67,2178.25,0.0005,4,40,10.00,3.90,188762.78,72.50,13.33,0.00,0.00,16.89,80.00,100.00,72.50,2926.46,0.00,145.30,183.04,-,-
65jywN1THJZfPU3GN2D5z6j87wubrjhLt9zBpxXmL3d3,65.73,10461.24,0.0000,3,31,9.68,2.70,1007421.02,67.74,682.09,0.01,100.00,1.14,100.00,184.43,77.78,5635.31,-49.98,1480.20,23.48,388.32%,-32.95%
B27wx5Ms6n6VSUNcAifs9YdEUe33d8mBozb1aQqKuFEC,65.82,2703.18,0.0000,1,32,3.12,1.60,764467.73,59.38,37.24,0.00,0.00,9.80,100.00,68.43,100.00,7037.03,4.69,5856.93,220.93,40.69%,-39.41%
AK2rUWkiZ6ZohFb7UQ6EbRN22m1kYKbYGi3X9USXGrMA,66.65,3426.75,0.0000,1,33,3.03,3.70,113343.44,60.61,11.08,3.23,50.00,11.43,50.00,100.00,60.61,1670.72,-5.18,1295.09,129.31,-,-
7UPR8QXz69EhcBqh9Rn17q6qKxrWyReFSryxsWxxLqKa,66.94,3970.06,0.0000,1,13,7.69,3.70,296324.09,69.23,16.13,2.70,50.00,40.09,66.67,100.00,69.23,5674.88,42.87,6421.04,189.15,-,-
12LFex2Fq7wvM1GNsm4LYhyuWZmU7NafoNnYnc1dquLn,67.91,199054.55,0.0000,1,21,4.76,8.10,856867.11,52.38,646.09,0.40,100.00,18.88,100.00,216.52,80.00,568313.79,-2.51,5244.54,4187.31,3294378.68%,-58.94%
BFtkWiPt8Vn377aeTA3GfP6z7GWUYSYCBCGUvE3w5T9k,67.92,2318.29,0.0000,5,60,8.33,5.60,9312.61,45.00,11.50,30.10,66.67,55.69,50.00,100.00,45.00,1433.39,254.20,905.37,160.79,-,-
5jf1recdwPZmCPnbUddtZ4aARx9qTHmdZU5YyhTcKChF,68.21,2701.03,0.0000,1,19,5.26,1.10,13314.52,63.16,12.17,51.45,100.00,19.74,60.00,100.00,63.16,2136.61,716.59,2121.05,45.43,-,-
CdnZHwWNvmHexp8kFS1J6pGfUqY3WqSCv2WMVC8FGLBZ,68.72,3858.84,0.0000,7,83,8.43,4.10,88996.84,55.42,33.83,2.86,60.00,8.35,70.00,109.32,54.55,21311.91,2706.53,3141.07,184.02,81.37%,-38.40%
6HVkrDDb6kvdxqS37jQuRo2cKQniGSoChM4HufakWKjZ,68.77,1957.70,0.0000,1,46,2.17,3.70,708211.04,45.65,12.68,0.00,0.00,1.32,100.00,65.98,58.33,1846.47,73.08,8332.63,136.25,38.32%,-37.18%
12Xym9SFwQ4mNHRqZXePdLenSuTbqn2ncRFZcDEyYR7A,71.69,2487404.33,0.0000,3,31,9.68,8.90,354201.44,45.16,76.52,0.27,100.00,16.21,66.67,58.48,83.33,478660.40,103185.57,2961.07,4075.94,9311046.40%,-51.22%
12AvBJEoTo6rt2yytBJU4ukUsHZQYSEH64MG4UyFfUYP,72.66,133589.80,0.0000,1,18,5.56,7.40,671399.30,61.11,518.77,0.14,100.00,1.35,100.00,208.38,100.00,599063.58,23770.92,6759.64,6426.61,429120.18%,-33.48%
E6jBspKgDV7xeaq1eEPCFnid6t3DyhNEJrQSvwYRHPUW,73.07,712.94,0.0000,1,33,3.03,2.50,35955.18,57.58,56.88,0.00,0.00,0.67,50.00,31.41,75.00,3454.35,37.39,10162.40,166.27,133.36%,-41.09%
A4cEXTkMAubmLE8ZWP7BbTZYGJgv5vTDnYvZw5je3b9d,73.12,8954.13,0.0000,1,36,2.78,6.20,31234.28,63.89,59.68,0.00,0.00,0.19,100.00,11.16,81.82,11505.25,5519.65,17548.89,123.13,82.57%,-49.88%
AqknkcH2a6nEBLX3UpTKhitegLx81JqNjrN5cXjY3vLE,74.38,2037.01,0.0000,3,44,6.82,4.40,507003.64,61.36,13.03,57.61,60.00,7.26,45.00,102.26,50.00,4570.80,-0.12,4080.88,391.62,39.43%,-38.54%
12SmeqLYxaigANFP63npTmnBXzugG1Zo1mXpfaWgacjZ,75.52,2854139.89,0.0000,1,24,4.17,8.90,356896.56,45.83,60.27,0.33,100.00,0.45,100.00,10.03,80.00,307767.65,172336.07,3936.66,7016.34,38323932.78%,-35.67%
4e8AqRMLEwTcQ3np2kxtQd7DnDQxer397R3qY36gmR5k,76.43,5556.76,0.0000,1,17,5.88,4.40,33303.37,70.59,58.77,0.00,0.00,4.95,100.00,1837.12,81.82,5576.17,224.66,1164.19,234.81,165.84%,-56.13%
12Wq2T7aZnebzJawNRWPyHemGCDotcj3eX1KEsJkf4Lo,77.35,2597081.95,0.0000,1,20,5.00,8.90,355170.09,55.00,65.76,0.29,100.00,0.57,100.00,0.61,100.00,613268.29,-28949.05,3268.19,10886.03,1094648.31%,-45.82%
8YsGPswre9DPFFawBoDsVXCqAKoFX1UYaao5JJF4R8ak,78.74,5950.86,0.0000,2,26,7.69,4.00,9651.66,46.15,145.33,0.00,0.00,2.90,100.00,2404.95,48.00,6042.86,0.00,1673.33,110.59,37.88%,-38.22%
6XYfuyAtX16QQxjq8HryBpNCPEpZWCJtFnCS3AXTripi,80.32,1083.01,0.0000,1,37,2.70,5.80,22259.45,56.76,66.92,0.15,100.00,1.64,100.00,31.84,100.00,2759.43,34.79,5497.52,46.72,419.21%,-43.74%
12NVKKxqiA91zWvF1ygrza6QNgNZEXdRG2AG3HnvHPSh,82.35,2734439.07,0.0000,2,20,10.00,8.90,352257.18,45.00,178.49,0.44,100.00,6.24,100.00,6.24,100.00,320001.60,-35106.02,3474.46,7976.82,34696.59%,-33.16%
